bodega,inicio_m,fin_m,largo_m,volumen_m3
Bodega 3,23.2,45.2,22.000000000000004,1584.0653400000006
Bodega 2,45.2,72.2,27.0,1944.0801900000001
Bodega 1,72.2,99.2,27.0,1944.0801900000001
