frame,x_m,segmento,espac_m,x_ap_m,frame_ap
39,25.56,Área de carga,0.7,79.64,123
38,24.86,Área de carga,0.7,80.34,124
37,24.16,Área de carga,0.7,81.04,125
36,23.46,Área de carga,0.7,81.74000000000001,126
35,22.76,Área de carga,0.7,82.44,127
34,22.06,Área de carga,0.7,83.14,128
33,21.36,Área de carga,0.7,83.84,129
32,20.66,Área de carga,0.7,84.54,130
31,19.96,Área de carga,0.7,85.24000000000001,131
30,19.26,Área de carga,0.7,85.94,132
29,18.56,Área de carga,0.7,86.64,133
28,17.86,Área de carga,0.7,87.34,134
27,17.16,Área de carga,0.7,88.04,135
26,16.46,Área de carga,0.7,88.74000000000001,136
25,15.76,Área de carga,0.7,89.44,137
24,15.06,Área de carga,0.7,90.14,138
23,14.36,Área de carga,0.7,90.84,139
22,13.66,Área de carga,0.7,91.54,140
21,12.96,Área de carga,0.7,92.24000000000001,141
20,12.26,Área de carga,0.7,92.94,142
19,11.56,Área de carga,0.7,93.64,143
18,10.86,Área de carga,0.7,94.34,144
17,10.16,Área de carga,0.7,95.04,145
16,9.46,Área de carga,0.7,95.74000000000001,146
15,8.76,Área de carga,0.7,96.44,147
14,8.06,Área de carga,0.7,97.14,148
13,7.36,Área de carga,0.7,97.84,149
12,6.66,Área de carga,0.7,98.54,150
11,5.96,Área de carga,0.7,99.24000000000001,151
10,5.26,Área de carga,0.7,99.94,152
9,5.26,Pique de proa,0.6,99.94,153
8,4.8,Pique de proa,0.6,100.4,154
7,4.2,Pique de proa,0.6,101.0,155
6,3.6,Pique de proa,0.6,101.60000000000001,156
5,3.0,Pique de proa,0.6,102.2,157
4,2.4,Pique de proa,0.6,102.8,158
3,1.8,Pique de proa,0.6,103.4,159
2,1.2,Pique de proa,0.6,104.0,160
1,0.6,Pique de proa,0.6,104.60000000000001,161
0,0.0,Pique de proa,0.6,105.2,162
