concepto,valor_m3,porcentaje_sobre_requerido
Volumen requerido para autonomía,70.58823529411765,100.0
Volumen disponible en tanques,1140.974683794777,1616.3808020426006
Margen neto,1070.3864485006595,1516.3808020426006
