nombre,posicion_m,descripcion
Mamparo pique de proa,6.0,Cierra el pique de proa y soporta el guinche/paño de cadenas.
Mamparo cámara de máquinas (proa),82.0,Separa bodega 3 de la cámara de máquinas.
Mamparo cámara de máquinas (popa),97.0,Limita la cámara de máquinas y antecede al pique de popa.
Mamparo pique de popa,105.2,"Aloja timón, eje y tanque de lastre de popa."
